Date,Open,High,Low,Close,Volume
15/07/2022,140.68,140.68,138.61,139.92,4519320
14/07/2022,135.6,139.43,135.02,139.06,5298351
13/07/2022,137.18,138.9,136.8,137.18,4123213
12/07/2022,140.84,141.55,138.565,139.18,3235571
11/07/2022,140.62,141.87,140.13,141,3912773
08/07/2022,140.76,141.3203,139.82,140.47,2820928
07/07/2022,138.91,141.325,138.83,140.83,3897077
06/07/2022,138,139.14,137.13,138.08,3237059
05/07/2022,139.97,139.97,135.27,137.62,6274067
01/07/2022,141,141.67,139.26,141.12,4012106
30/06/2022,139.58,142.46,139.28,141.19,4878020
29/06/2022,142.74,143.5213,139.5,140.71,4161491
28/06/2022,142.92,144.155,141.32,141.86,4065202
27/06/2022,142.26,143.83,141.95,142.8,3935968
24/06/2022,139.2,142.37,139.13,142.06,11493012
23/06/2022,137.14,138.62,136.5,138.44,4547925
22/06/2022,136.1,138.18,136.03,137.08,3791635
21/06/2022,135.9,138.5,135.9,137.85,4089272
17/06/2022,135.99,136.98,132.85,135.02,12968509
16/06/2022,135.3,136.24,134.39,135.67,5386396
15/06/2022,136.01,138.45,135.58,137.06,4606887
14/06/2022,135,136.9501,134.86,135.72,4607785
13/06/2022,133.97,137.57,133.76,135.11,6486044
10/06/2022,137.8,137.8,135.25,136.19,4661716
09/06/2022,140.15,141.04,137.93,137.96,3592551
08/06/2022,142.07,142.8,140.15,140.83,3005666
07/06/2022,142.6,142.98,140.96,142.78,2887051
06/06/2022,142.98,144.73,142,142.88,4767100
03/06/2022,140.26,142.5794,139.74,141.18,4352213
02/06/2022,139.45,140.29,136.85,140.15,3734812
01/06/2022,139.67,140.4699,138.52,139.43,3796488
31/05/2022,138.2,139.83,136.81,138.84,7978053
27/05/2022,137.39,139.7394,137.24,139.27,4608215
26/05/2022,135,137.55,134.52,136.89,3929338
25/05/2022,132.86,134.82,132.86,134.39,3299303
24/05/2022,130.57,134.37,130.42,133.8,4189723
23/05/2022,129.5,131.95,129.42,131.17,3591511
20/05/2022,130.18,130.37,125.8,128.48,6914458
19/05/2022,132,132.32,128.71,129.66,5819664
18/05/2022,137.1,137.615,132.17,132.94,6003015
17/05/2022,137.19,138.37,135.64,138.37,4372909
16/05/2022,133.1,136.51,132.41,135.03,4250395
13/05/2022,133,133.8,131.05,133.6,4195218
12/05/2022,131.27,133.62,130.41,132.9,5384809
11/05/2022,129.86,132.96,129.86,130.75,5301131
10/05/2022,135,135.41,128.43,129.13,8642398
09/05/2022,134.41,136.345,133.315,134.44,7647933
06/05/2022,135.47,137.99,135.47,137.67,7306396
05/05/2022,136.46,137.26,134.76,135.92,5957434
04/05/2022,132.87,137.87,132.14,137.4,5913705
03/05/2022,133,133.6,131.99,132.52,3688574
02/05/2022,133,133.77,130.89,133.04,4213477
29/04/2022,135.13,135.5545,132,132.21,5078660
28/04/2022,136.85,136.99,134.81,135.74,4477068
27/04/2022,135.78,137.12,134.63,135.06,4369052
26/04/2022,139,139.87,136.17,136.19,4887395
25/04/2022,137.59,139.65,135.19,139.1,5748289
22/04/2022,139.7,140.4399,137.35,138.25,6508599
21/04/2022,138.23,141.88,137.35,139.85,9922349
20/04/2022,135,139.56,133.38,138.32,17770306
19/04/2022,126.08,129.4,126,129.15,7971361
18/04/2022,126.6,127.3899,125.53,126.17,4884150
14/04/2022,128.93,130.58,126.38,126.56,6384180
13/04/2022,125.64,126.67,124.91,126.14,3064918
12/04/2022,126.42,127.34,125.5835,125.98,2690998
11/04/2022,127.95,128.175,126.18,126.37,3202545
08/04/2022,128.01,128.78,127.27,127.73,3143309
07/04/2022,128.87,129.2499,126.73,128.55,3538317
06/04/2022,127.78,129.515,127.25,129.39,3958057
05/04/2022,129.85,131.23,128.66,128.89,3102238
04/04/2022,130.26,130.45,128.93,130.27,2811100
01/04/2022,129.66,130.27,128.06,130.15,4012373
31/03/2022,130.72,131.88,130,130.02,4274029
30/03/2022,132.01,133.08,131.39,132.13,2622860
29/03/2022,132.04,132.84,130.43,131.94,5791032
28/03/2022,130.82,131.5,129.6,131.47,2483492
25/03/2022,129.5,131.4,129.31,131.35,3516923
24/03/2022,128.33,129.37,127.8,129.25,2971075
23/03/2022,129.08,129.32,128.25,128.3,2924535
22/03/2022,128.5,129.3,127.85,129.06,2649026
21/03/2022,129,129.74,127.4,128.1,3379393
18/03/2022,127.38,128.93,126.37,128.76,7400216
17/03/2022,127.1,128.29,126.53,127.96,3671903
16/03/2022,126.5,127.2842,124.71,127.04,4292845
15/03/2022,124,125.9398,123.22,125.64,4021228
14/03/2022,124.45,125.16,122.685,123.94,3289440
11/03/2022,125,126.77,123.91,123.96,4119630
10/03/2022,125.75,126.03,123.125,124.35,5326835
09/03/2022,127.41,128.1,125.91,126.22,4403499
08/03/2022,126.62,128.345,124.82,125.68,4887565
07/03/2022,126.47,127.905,125.62,126.07,5047358
04/03/2022,124.4,127.35,124.2103,126.62,4402911
03/03/2022,124.96,126.665,124.2351,125.93,5206649
02/03/2022,122.59,124.64,121.8,123.86,4891435
01/03/2022,122.67,123.39,120.7,121.35,4873331
28/02/2022,122.21,123.3851,121.0388,122.51,6757332
25/02/2022,122.05,124.2625,121.45,124.18,4460904
24/02/2022,120,122.1,118.81,121.97,6563202
23/02/2022,124.38,124.7,121.87,122.07,4086367
22/02/2022,124.2,125,122.68,123.92,5306688
